age,x1993,x1997,x2000,x2004,x2007,x2011,x2015
0-4,0,0,0,0,0,0,0
4-8,0,0,0,,0,0,0
8-12,0,0,0,0,0,0,0
12-16,0,0,0.003496503,0,0,0.003861004,0
16-20,0,0.011061947,0.01056338,0,0.006011933,0,0.019417476
20-24,0.039772727,0.034934498,0.041509434,0.033333333,0.039956275,0.00591716,0.06557377
24-28,0.088145897,0.091684435,0.095238095,0.056338028,0.052713791,0.054298643,0.053497942
28-32,0.143229167,0.105943152,0.142045455,0.090534979,0.08047934,0.08203125,0.056521739
32-36,0.135714286,0.159836066,0.168508287,0.150141643,0.109894301,0.070921986,0.080882353
36-40,0.162849873,0.177777778,0.203196347,0.156593407,0.104942403,0.093150685,0.071895425
40-44,0.162983425,0.177676538,0.223163842,0.225316456,0.149820752,0.135338346,0.083526682
44-48,0.15408805,0.218468468,0.233995585,0.207386364,0.184458306,0.124752475,0.071428571
48-52,0.173160173,0.18,0.25,0.196078431,0.196348354,0.150118599,0.112356032
52-56,0.16751269,0.207885305,0.220183486,0.214622642,0.168268238,0.166872221,0.132815058
56-60,0.130434783,0.131004367,0.248091603,0.2,0.181009955,0.11687371,0.122353538
60-64,0.139175258,0.142180095,0.175925926,0.15936255,0.168548185,0.121684104,0.118554509
64-68,0.110497238,0.151351351,0.127358491,0.135746606,0.139643458,0.107049426,0.098152869
68-72,0.090909091,0.109756098,0.157894737,0.149253731,0.099503498,0.079835185,0.090037187
>72,0.095238095,0.063492063,0.158590308,0.121710526,0.063571422,0.042036762,0.030423503
